,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind
1466,3.22,Lyft,North Station,Fenway,11.0,1.0,df1321ea-6294-47e7-b8d4-ce22a638441c,lyft,Lyft,2018-11-27:02.15.22,44.11,1.0,1003.08,0.117,0.91,13.58
332,0.73,Uber,Haymarket Square,West End,,1.0,92e2bd36-bf96-4958-ae49-5e3288a0fa31,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:22.42.24,44.52,0.97,1007.96,0.017,0.88,9.61
3438,1.07,Lyft,Northeastern University,Back Bay,11.0,1.0,695076c6-26ce-4951-ad5c-b38aa27d8bb1,lyft_premier,Lux,2018-11-28:23.45.57,39.44,0.88,995.87,,0.66,10.29
3575,3.18,Lyft,Back Bay,South Station,16.5,1.5,756a9b62-dc55-44c1-91e0-bbf53b016e76,lyft,Lyft,2018-11-26:11.05.10,37.75,0.97,1015.28,,0.99,2.44
71,1.81,Uber,Northeastern University,Theatre District,15.0,1.0,c305aabf-1301-4db0-9192-e35ecc798fbd,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-27:00.58.49,43.95,0.98,1005.98,0.1884,0.9,9.95
275,2.15,Lyft,South Station,West End,13.5,1.0,f2968df9-0cb7-4d7a-8c6b-e320d94f3b36,lyft_plus,Lyft XL,2018-11-28:13.32.07,38.31,0.59,991.71,,0.68,6.86
2841,4.32,Lyft,Financial District,Fenway,27.5,1.0,64407ca8-a6d6-476d-83e3-cc98da6b28f4,lyft_premier,Lux,2018-11-28:11.06.24,33.12,0.4,990.69,,0.82,6.52
136,1.02,Lyft,North End,Financial District,27.5,1.0,1e5ab64e-f6a7-46eb-8b76-af5fcec0e4e4,lyft_luxsuv,Lux Black XL,2018-11-28:17.02.08,41.41,0.92,991.49,,0.63,9.25
624,1.1,Uber,Northeastern University,Back Bay,14.5,1.0,86e583b1-beb0-4502-a642-90d3750a0a1f,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27:01.45.22,44.18,1.0,1004.18,0.6364,0.91,12.39
3766,0.55,Uber,South Station,Theatre District,7.0,1.0,c64eb6b2-132a-4f6f-8a0e-05ee8616e304,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26:07.11.17,41.1,0.97,1014.35,,0.93,1.82
2197,0.62,Lyft,South Station,Theatre District,5.0,1.0,7e3722eb-0bc9-495f-a07a-586d75065429,lyft_line,Shared,2018-11-28:00.45.22,38.78,0.04,992.11,,0.73,7.5
3822,2.29,Lyft,Haymarket Square,Back Bay,16.5,1.0,56378f47-8637-42f9-b22e-c2de6606021b,lyft_plus,Lyft XL,2018-11-29:04.32.07,37.58,0.5,998.76,,0.71,9.93
3161,0.68,Lyft,West End,Haymarket Square,26.0,1.0,04106e41-b233-4e69-b6a9-7b6cbebb01fa,lyft_luxsuv,Lux Black XL,2018-11-28:12.32.07,36.08,0.73,991.29,,0.72,7.76
2543,1.05,Lyft,Financial District,Haymarket Square,9.0,1.0,cb6856bd-37cd-4f11-835d-faba89926ee2,lyft_plus,Lyft XL,2018-11-28:17.32.07,41.38,0.85,991.66,,0.64,9.93
2021,2.71,Uber,Fenway,Theatre District,24.0,1.0,6048293c-1c7c-4daa-a5da-1bf2f4d55bb6,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:19.02.08,40.9,1.0,991.82,,0.64,9.5
3108,1.15,Lyft,Financial District,North End,7.0,1.0,44827818-cac5-4f01-878e-b0b33add8b85,lyft,Lyft,2018-11-28:13.32.07,37.98,0.55,991.82,,0.69,6.76
2015,2.83,Lyft,West End,Northeastern University,7.0,1.0,6a4a4683-c3c3-497c-912b-1bea4630a24d,lyft_line,Shared,2018-11-28:22.53.38,40.04,0.99,994.96,,0.63,9.81
2120,1.63,Uber,West End,South Station,15.0,1.0,ec2b5272-37c3-4069-8b20-c480fcfec84d,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:01.51.40,38.45,0.58,997.62,0.002,0.7,10.03
2802,2.56,Uber,Northeastern University,West End,21.0,1.0,2750a9f4-b48e-4cb7-8a54-14b26202998f,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:00.39.28,38.39,0.75,996.81,,0.69,11.06
1536,1.22,Uber,West End,North End,6.5,1.0,c62e1424-b1c3-42f0-8f93-d5cfe7bd9787,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:15.06.22,39.6,0.27,991.75,,0.65,8.23
2903,4.4,Uber,Financial District,Fenway,12.0,1.0,e0afaf52-9eaa-4319-af03-e7807c3f14de,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:10.02.08,33.23,0.14,991.19,,0.84,5.51
137,1.02,Lyft,North End,Financial District,10.5,1.0,3cd5454d-8257-4282-8dc6-df301123575b,lyft_premier,Lux,2018-11-28:17.02.08,41.41,0.92,991.49,,0.63,9.25
3617,1.14,Uber,Theatre District,Haymarket Square,26.0,1.0,173dab85-cb52-400e-a745-caee1d51ee25,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26:05.03.00,40.67,0.94,1013.75,,0.92,2.98
149,1.34,Uber,Fenway,Back Bay,7.0,1.0,0ec92791-e06e-4d4b-9de0-f5089668a5f8,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29:02.02.08,38.51,0.54,997.83,,0.7,10.23
3325,1.82,Uber,Back Bay,Fenway,9.5,1.0,bec99a04-59ca-4a42-9148-c7d4648b5897,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:20.32.07,40.81,1.0,993.33,,0.65,9.75
3460,4.24,Lyft,South Station,Back Bay,27.5,1.0,fca1220d-b03c-411a-834d-406b474e021b,lyft_premier,Lux,2018-11-27:00.42.13,43.83,0.97,1005.9,0.2173,0.91,10.93
1084,2.58,Uber,Beacon Hill,South Station,14.0,1.0,acf5d988-68de-49e2-85ad-ff504ec31c37,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-27:01.45.22,44.31,1.0,1004.19,0.7505,0.9,12.48
3277,1.75,Lyft,Theatre District,North End,19.5,1.0,c5cba985-30c4-4421-86b3-9cceb90f3c40,lyft_lux,Lux Black,2018-11-26:09.29.09,40.91,1.0,1014.75,,0.93,1.16
151,1.34,Uber,Fenway,Back Bay,11.0,1.0,13fb06c0-f6c4-49cf-bc03-50305455a881,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:02.02.08,38.51,0.54,997.83,,0.7,10.23
3475,3.01,Uber,Boston University,North Station,,1.0,75572fd3-c98c-48c4-a588-759b946dde8f,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:07.33.43,35.0,0.15,991.75,,0.8,6.66
1026,0.63,Lyft,South Station,Theatre District,7.0,1.0,70ca8141-82a4-4235-af9a-0b4860dc1ad8,lyft,Lyft,2018-11-28:11.06.24,33.29,0.38,990.68,,0.82,6.61
130,4.48,Uber,Fenway,Financial District,14.0,1.0,66041ee6-55af-4e60-90fe-54d41f6e8f73,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:17.02.08,41.41,0.92,991.49,,0.63,9.25
3434,1.22,Uber,Northeastern University,Back Bay,10.5,1.0,665f55ad-2451-4f16-9b50-8a82af85ece8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:00.45.22,38.95,0.04,992.11,,0.72,7.46
160,1.97,Lyft,Back Bay,Haymarket Square,26.0,1.25,839fd710-1d32-43ac-8d39-5ee9529a8446,lyft_lux,Lux Black,2018-11-26:06.49.45,41.13,0.98,1014.35,,0.92,1.82
2850,3.01,Uber,Boston University,North Station,11.0,1.0,2c2046e8-3609-4e9c-9936-223c3f224db1,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:14.02.08,38.44,0.48,991.64,,0.67,11.41
1201,0.55,Uber,South Station,Theatre District,7.0,1.0,a37142b9-0fda-40bb-b374-f774ea73e856,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26:19.05.10,45.77,0.97,1010.97,,0.84,8.03
1590,3.05,Uber,Fenway,North Station,34.5,1.0,9de14d69-db32-470a-ade2-aeeb87fa4112,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-29:00.53.38,38.72,0.74,996.85,,0.7,9.79
40,3.25,Lyft,Northeastern University,North Station,38.5,1.0,6cec2333-90bb-4fcf-838e-29a5caf7b49e,lyft_luxsuv,Lux Black XL,2018-11-28:23.02.09,39.9,0.98,995.03,,0.64,9.99
3694,3.37,Uber,Northeastern University,North Station,,1.0,ddcc1c0c-2c01-4a93-94b8-a4d4a4acd406,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:18.06.23,41.28,0.94,991.4,,0.63,9.73
663,1.51,Uber,North End,Beacon Hill,10.5,1.0,3f8175e7-2621-409f-b70d-21cfc0e0e95c,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29:01.27.03,38.34,0.58,997.48,,0.72,10.43
296,1.25,Uber,Haymarket Square,Financial District,,1.0,c3c23c76-472c-4cf8-a7f6-ba71d1792113,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:17.05.09,45.5,0.98,1012.84,,0.86,6.26
754,3.3,Uber,Northeastern University,North Station,10.5,1.0,c5569767-79f5-4f64-b7b3-61bd010692c1,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:04.02.07,37.64,0.62,998.37,,0.71,9.3
177,1.51,Lyft,Back Bay,Fenway,11.0,1.0,ceea23de-c848-41f0-a98b-ccbd09482ed8,lyft_plus,Lyft XL,2018-11-26:22.42.24,44.42,0.97,1007.91,0.0062,0.88,9.53
702,2.66,Uber,Fenway,Theatre District,20.5,1.0,9ed4b92b-fd9e-45c9-9e44-f1830a038965,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:23.02.09,39.88,0.98,995.04,,0.64,10.05
3558,0.91,Lyft,Financial District,Haymarket Square,5.0,1.0,cb3ba57b-5a72-4e94-9922-a3491d7ad39e,lyft_line,Shared,2018-11-28:08.54.56,34.14,0.52,991.61,,0.81,4.96
1019,3.1,Lyft,Boston University,Theatre District,11.0,1.0,68716021-8c0e-4129-a2d7-5edcfae4d05a,lyft,Lyft,2018-11-28:11.06.24,33.29,0.38,990.68,,0.82,6.61
2278,2.84,Lyft,West End,Northeastern University,7.0,1.0,52ebf30c-3e1c-42a4-a62c-aa2a9f1e78ba,lyft_line,Shared,2018-11-28:16.02.07,41.4,0.61,991.57,,0.61,9.96
1838,2.04,Lyft,Theatre District,Northeastern University,7.0,1.0,66470492-9b63-4b5b-b1f9-37a9178d009b,lyft_line,Shared,2018-11-29:06.41.41,37.31,0.62,1000.63,,0.72,10.48
2972,4.52,Lyft,Fenway,Financial District,42.5,1.0,24ae5fbc-26ec-4107-ac87-d1e75151f4ac,lyft_luxsuv,Lux Black XL,2018-11-29:02.32.09,39.22,0.35,998.16,,0.68,10.51
2172,4.58,Lyft,Financial District,Boston University,42.5,1.0,2a127ba4-b9b5-4565-a6ad-5fc308c41b0a,lyft_luxsuv,Lux Black XL,2018-11-28:16.02.08,41.05,0.61,991.57,,0.62,9.9
677,1.49,Lyft,Boston University,Back Bay,16.5,1.0,aa8a4b68-d308-4989-bce1-b78e528c55eb,lyft_lux,Lux Black,2018-11-29:01.32.08,38.46,0.65,997.43,,0.72,10.06
3859,1.18,Lyft,Haymarket Square,Financial District,27.5,1.0,7ce3b196-f348-4d2d-8b57-20753ff7aacd,lyft_luxsuv,Lux Black XL,2018-11-26:06.29.03,43.97,1.0,1014.18,,0.81,1.45
2103,2.84,Uber,Fenway,West End,,1.0,f79d9165-20c2-4737-ba88-03542cf6cd0b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:16.02.07,41.24,0.63,991.56,,0.62,9.88
1008,1.08,Lyft,Theatre District,South Station,5.0,1.0,164ab925-20e6-4c6d-aeef-5d3d6cc072f3,lyft_line,Shared,2018-11-26:05.29.18,40.28,0.92,1013.8,,0.94,2.82
3332,2.72,Uber,West End,Fenway,9.0,1.0,e88ac6ff-ff16-4809-9312-39b481fa9e43,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:20.32.07,40.81,1.0,993.33,,0.65,9.75
3838,1.3,Uber,Theatre District,South Station,16.0,1.0,2bef18a4-1b13-4125-9412-0b735ac99139,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:22.53.38,40.56,0.99,994.94,,0.62,9.93
1512,1.09,Lyft,Financial District,North End,26.0,1.0,e7ce612f-e425-46cb-9caa-b1c9a6c1b291,lyft_luxsuv,Lux Black XL,2018-11-26:21.35.09,44.6,0.92,1009.04,0.003,0.86,9.46
2282,2.84,Lyft,West End,Northeastern University,30.0,1.0,afbd080a-6aa1-4a0b-8e1c-3dd94163c41a,lyft_luxsuv,Lux Black XL,2018-11-28:16.02.07,41.4,0.61,991.57,,0.61,9.96
2704,2.86,Uber,West End,Northeastern University,9.0,1.0,7b5dcd39-11b0-4318-a1a1-e0c07e50fbf6,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:23.02.09,39.88,0.98,995.06,,0.64,9.97
654,2.38,Uber,North Station,South Station,8.5,1.0,bc45dddb-34d8-4a34-b24b-76ad06c942f0,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:21.32.07,40.99,0.86,994.07,,0.64,9.63
1442,1.79,Uber,Back Bay,Haymarket Square,29.0,1.0,96ee6d7b-b35f-40af-aa97-bb196a905c3f,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26:09.29.09,40.88,1.0,1014.75,,0.93,1.18
3329,1.82,Uber,Back Bay,Fenway,9.5,1.0,e7f0ed32-6a1b-4bb5-9992-8bf86f3d2bbd,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:20.32.07,40.81,1.0,993.33,,0.65,9.75
1739,3.16,Uber,North End,Back Bay,13.5,1.0,d686471f-23cc-4dbc-830e-746ed76ba7b3,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:11.32.07,32.98,0.42,990.91,,0.83,7.06
29,4.55,Uber,Financial District,Northeastern University,,1.0,4bd4ba3a-e763-4b65-a338-db6da981aa6c,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:21.32.07,40.23,0.86,994.12,,0.66,9.53
3417,0.98,Uber,North End,West End,11.0,1.0,99572470-a5da-4554-b7c3-744a9a2c72c5,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:01.59.52,38.42,0.55,997.77,,0.7,10.25
1337,0.49,Uber,North Station,Haymarket Square,16.0,1.0,3af463e8-d4cc-4089-8b29-41644c3603fd,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:12.35.09,40.52,0.93,1015.17,,0.95,3.16
994,0.66,Lyft,West End,Haymarket Square,26.0,1.0,adc0c014-5fbb-4ce7-b7ca-701c0f83790d,lyft_luxsuv,Lux Black XL,2018-11-26:21.35.09,44.55,0.92,1009.04,,0.86,9.45
3354,3.39,Uber,North Station,Boston University,17.5,1.0,d6d384fe-63a0-4270-8a2a-5933f0d88517,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:17.32.07,41.32,0.85,991.69,,0.63,9.88
3180,2.37,Lyft,Back Bay,Haymarket Square,22.5,1.0,a17e134d-b26f-452b-97e6-ae113f725fdf,lyft_lux,Lux Black,2018-11-29:04.09.18,37.64,0.59,998.45,,0.71,9.48
2138,1.68,Uber,South Station,Back Bay,18.5,1.0,099b3aaa-4e20-4459-9e0d-3898aab50b65,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:17.02.07,41.38,0.92,991.5,,0.63,9.22
711,0.62,Uber,West End,Haymarket Square,16.0,1.0,6baaa196-be7e-4c0e-b857-148b4c9a9d14,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:21.32.07,40.57,0.83,994.01,,0.65,9.59
563,1.54,Lyft,Theatre District,North End,22.5,1.0,eb6c6d69-81f0-489b-85c6-a2cd9a67b089,lyft_lux,Lux Black,2018-11-26:10.35.09,40.6,0.99,1014.86,,0.95,2.07
2829,1.03,Uber,North Station,North End,11.5,1.0,be0ec45c-7c79-4b42-959b-2972a2d31418,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-29:02.09.19,38.4,0.49,997.91,0.002,0.7,10.48
132,4.48,Uber,Fenway,Financial District,23.0,1.0,d95252aa-a216-4bf2-9c37-1d5b00811b25,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:17.02.08,41.41,0.92,991.49,,0.63,9.25
1630,3.41,Uber,North Station,Boston University,37.0,1.0,176f5ede-267d-4361-8e76-95e9460e918c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-29:08.53.00,37.7,0.63,1001.84,,0.69,9.95
1207,2.01,Lyft,Theatre District,Northeastern University,5.0,1.0,e16f733b-1393-4db5-8003-196700f26477,lyft_line,Shared,2018-11-27:00.58.48,43.87,0.98,1005.93,0.1624,0.91,9.85
1033,1.73,Lyft,Haymarket Square,Theatre District,10.5,1.0,3eef3e3f-e0ef-4d21-9445-aa40284d0a60,lyft,Lyft,2018-11-28:10.02.08,33.1,0.13,991.18,,0.84,5.59
3052,2.31,Lyft,Haymarket Square,Back Bay,7.0,1.0,18f5b352-cec4-4e4c-be77-8889d2357c8d,lyft_line,Shared,2018-11-26:19.05.10,45.9,0.97,1010.97,,0.84,8.05
2479,1.12,Lyft,North Station,North End,27.5,1.0,53877f63-584f-4f2b-bc57-2d6df64dce83,lyft_luxsuv,Lux Black XL,2018-11-28:21.02.08,41.17,0.92,993.43,,0.63,8.5
3741,3.79,Uber,Financial District,Northeastern University,11.5,1.0,a646a0bd-aed1-4df7-941c-08080b0614ee,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:15.02.08,39.61,0.28,991.76,,0.65,8.17
80,0.59,Lyft,South Station,Theatre District,10.5,1.0,4e2cb35f-e358-4cb8-a367-57e833587803,lyft_plus,Lyft XL,2018-11-28:14.06.23,38.51,0.48,991.69,,0.67,11.26
835,0.63,Lyft,West End,Haymarket Square,16.5,1.0,e2222cb4-f6bf-466e-ad09-5fe4e8b9a141,lyft_lux,Lux Black,2018-11-29:02.32.08,38.05,0.37,998.28,,0.71,10.79
2425,0.54,Lyft,West End,Haymarket Square,10.5,1.0,78bed963-c35a-415a-9213-b91ef4a8d6d2,lyft_premier,Lux,2018-11-26:10.05.10,40.81,1.0,1014.75,,0.93,1.83
2223,3.12,Lyft,Boston University,Theatre District,11.0,1.0,cd1cba7b-9e55-407e-a1f3-47678bb2d330,lyft,Lyft,2018-11-28:22.02.09,40.86,0.84,994.08,,0.63,9.29
3307,0.99,Lyft,North Station,North End,10.5,1.0,ba9a0b64-2c97-483b-ab08-8709dfb20b5d,lyft_plus,Lyft XL,2018-11-27:00.58.48,44.09,0.98,1006.01,0.161,0.9,10.0
2959,1.39,Lyft,Haymarket Square,Beacon Hill,7.0,1.0,bf0795c1-03ba-4151-a312-3b35e7c32092,lyft,Lyft,2018-11-28:14.02.08,38.31,0.48,991.65,,0.67,11.42
3391,7.34,Uber,North End,Back Bay,45.0,1.0,29c353c2-44a3-4837-8464-c8d7772f073b,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:16.02.07,41.19,0.61,991.57,,0.62,9.93
2555,2.3,Uber,Back Bay,Haymarket Square,15.0,1.0,d1d0dc97-1819-459a-8849-e889481a32f8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:17.32.07,41.38,0.85,991.66,,0.64,9.93
59,1.57,Uber,North End,Theatre District,26.0,1.0,8fceb75f-6394-46c6-9197-f67381d552a2,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-27:00.58.49,43.95,0.98,1005.98,0.1884,0.9,9.95
2764,2.3,Uber,Back Bay,Haymarket Square,29.5,1.0,8e01cea3-bb7d-4fc0-b8c7-235a05c93703,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:12.02.07,34.61,0.82,991.2,,0.75,6.38
1904,0.67,Lyft,South Station,Theatre District,3.5,1.0,d6748aca-239f-4775-ab03-d7e8ccf26171,lyft_line,Shared,2018-11-28:07.33.43,34.89,0.13,991.58,,0.8,6.71
3570,0.63,Uber,Financial District,South Station,15.5,1.0,387fb815-50c9-41d9-a337-e48410d622ed,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:07.11.17,41.93,0.97,1014.35,,0.9,1.83
2670,3.22,Uber,North Station,Northeastern University,19.5,1.0,57e9581b-8813-41f0-8bf3-e102ad492587,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:10.32.07,32.62,0.16,991.43,,0.86,6.36
3291,3.23,Uber,North Station,Northeastern University,,1.0,236deccc-ea00-4c06-a54c-e158ffdc644a,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:18.05.09,45.09,0.97,1012.38,,0.88,4.49
1454,2.47,Lyft,Northeastern University,Beacon Hill,13.5,1.0,2d37bc62-a44c-4cbe-9967-d129113e30aa,lyft,Lyft,2018-11-29:04.32.07,37.57,0.5,998.74,,0.71,9.96
33,4.55,Uber,Financial District,Northeastern University,17.5,1.0,f50485ae-f6b5-4061-b4d4-f46c745ca912,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:21.32.07,40.23,0.86,994.12,,0.66,9.53
993,1.16,Uber,Theatre District,Haymarket Square,8.5,1.0,0a7fb79f-a57c-4e92-9e31-e60081e6d65a,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26:21.35.09,44.55,0.92,1009.04,,0.86,9.45
113,1.21,Uber,North End,Financial District,9.5,1.0,3d67149d-cb0f-44e6-8990-823c478c6884,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:01.02.08,36.85,0.71,997.12,,0.76,10.0
1780,3.31,Lyft,Northeastern University,North Station,26.0,1.0,a48b65a5-4176-4240-bab5-c12acf59ce29,lyft_lux,Lux Black,2018-11-29:01.02.08,38.66,0.7,997.12,,0.71,9.92
3210,2.27,Uber,Boston University,Beacon Hill,,1.0,88bb8daa-4b17-46fc-817f-57b045786264,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-26:21.05.10,44.83,1.0,1009.11,,0.85,9.24
2797,2.84,Uber,Fenway,West End,10.5,1.0,b27fc07e-e570-4733-81cb-c7f9b79f1bdf,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:00.39.28,38.39,0.75,996.81,,0.69,11.06
2478,2.4,Lyft,Boston University,Beacon Hill,22.5,1.0,d96f8134-0d21-46b0-9808-79711449f817,lyft_lux,Lux Black,2018-11-29:02.06.46,38.41,0.51,997.89,,0.7,10.34
227,2.62,Uber,Boston University,Theatre District,10.5,1.0,1df4ac00-e382-4c75-9844-64e42f149e41,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-27:01.45.22,44.09,1.0,1004.19,0.7222,0.91,12.45
2042,3.45,Uber,South Station,Back Bay,10.0,1.0,23e5c21f-d336-4de8-9a54-493da462ae20,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:07.34.35,35.0,0.15,991.78,,0.8,6.62
2955,0.99,Uber,Financial District,Haymarket Square,7.0,1.0,00552d6f-c5fa-4006-962a-4613097afabe,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:17.06.23,41.38,0.91,991.51,0.002,0.63,9.34
877,1.51,Lyft,Back Bay,Fenway,7.0,1.0,c06869d3-6232-4446-89f9-f476a85536b2,lyft,Lyft,2018-11-28:11.32.07,32.96,0.36,991.07,,0.83,6.4
3819,3.04,Uber,West End,Boston University,,1.0,989f9533-578a-4ced-ae5f-eed6975e8bf5,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-12-02:23.52.56,48.26,1.0,1002.9,,0.94,3.85
2533,1.21,Uber,Theatre District,Haymarket Square,,1.0,60e38376-4a7e-42b7-9e1e-4150e9ff26c9,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2018-11-28:15.02.08,39.55,0.26,991.73,,0.65,8.11
2974,4.52,Lyft,Fenway,Financial District,34.0,1.0,851b63bc-5906-4256-bbe8-6b99394b8bf1,lyft_lux,Lux Black,2018-11-29:02.32.09,39.22,0.35,998.16,,0.68,10.51
1879,0.98,Uber,Financial District,Haymarket Square,7.0,1.0,a3fa70fd-da9a-43d7-afd1-db500f2716b3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:23.02.09,39.94,0.98,995.03,,0.64,10.02
2374,2.69,Lyft,Beacon Hill,Boston University,7.0,1.0,780ed238-5c86-4c26-987c-3b7a48fb5a77,lyft_line,Shared,2018-11-28:16.32.08,40.96,0.67,991.63,,0.64,10.39
488,3.2,Lyft,North Station,Fenway,27.5,1.0,af1c9956-2751-4ba9-b2ba-3827078068fd,lyft_lux,Lux Black,2018-11-28:22.02.08,40.62,0.83,994.1,,0.63,9.21
854,1.0,Lyft,Haymarket Square,Financial District,11.0,1.0,8cf36948-e15f-42ba-b8a5-2e7ae93fbf5a,lyft_plus,Lyft XL,2018-11-28:07.31.37,35.83,0.15,991.76,,0.77,6.67
3380,3.05,Uber,Fenway,North Station,10.5,1.0,6982f054-d772-4c6e-8a8c-8a18959be4de,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-27:00.58.48,44.02,0.98,1006.01,0.1378,0.9,9.98
1094,0.57,Lyft,Financial District,South Station,10.5,1.0,5d05abe4-7d58-4a2e-a62e-339320066175,lyft_plus,Lyft XL,2018-11-29:01.02.08,36.8,0.71,997.12,,0.76,10.01
2475,2.37,Lyft,Fenway,Beacon Hill,16.5,1.0,c4098980-fc84-470b-9b8b-8dfab18bb5f7,lyft_plus,Lyft XL,2018-11-29:02.06.46,38.41,0.51,997.89,,0.7,10.34
3815,3.04,Uber,West End,Boston University,9.0,1.0,4ef6a5c7-e254-41ef-a6d7-78c4e5613a97,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-12-02:23.52.56,48.26,1.0,1002.9,,0.94,3.85
2691,2.97,Lyft,Theatre District,Boston University,7.0,1.0,dab756a2-0249-4b34-b330-e62c84736798,lyft_line,Shared,2018-11-28:07.33.43,34.99,0.16,991.78,,0.8,6.48
1116,4.4,Uber,Financial District,Fenway,36.5,1.0,b4682997-39e8-44bd-9cbd-3310a396387b,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:18.02.07,41.37,0.96,991.49,0.003,0.63,9.48
1262,2.28,Lyft,Haymarket Square,Back Bay,22.5,1.0,00aff3fe-b419-418a-b8cd-45e6ff2f45d4,lyft_lux,Lux Black,2018-11-26:05.17.46,40.64,0.92,1013.76,,0.92,3.02
2033,4.48,Uber,Fenway,Financial District,19.5,1.0,83ca4068-752c-476b-9be5-24b3eeb4c20a,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:07.33.43,35.85,0.15,991.76,,0.77,6.71
