,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,time_ride,date_hour,temp,location,clouds,pressure,rain,humidity,wind,time_weather
397,2.96,Lyft,Theatre District,Fenway,11.0,1.0,52d51d09-725b-4f57-b866-382c152cdb92,lyft,Lyft,2018-11-26 03:40:46.551,2018-11-26:03.40.46,40.84,Fenway,0.88,1014.35,0.0,0.93,1.31,2018-11-26 03:40:46.000
843,0.54,Lyft,North Station,Haymarket Square,26.0,1.0,f12f2c87-9ab5-4b96-bc87-906fdda88dc4,lyft_luxsuv,Lux Black XL,2018-11-29 02:32:08.863,2018-11-29:02.32.08,38.05,Haymarket Square,0.37,998.28,0.0,0.71,10.79,2018-11-29 02:32:08.000
3663,1.94,Uber,Theatre District,Northeastern University,9.5,1.0,b57bfa2c-716d-40ed-b5c0-70490497eb49,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26 14:05:09.746,2018-11-26:14.05.09,42.44,Northeastern University,0.91,1014.84,0.0088,0.91,2.25,2018-11-26 14:05:09.000
595,1.3,Uber,Theatre District,South Station,19.0,1.0,deb96118-e91f-4449-870b-175f8f3ac234,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27 20:15:22.302,2018-11-27:20.15.22,43.36,South Station,0.71,991.09,0.0,0.71,8.8,2018-11-27 20:15:22.000
2934,3.19,Lyft,Fenway,North Station,34.0,1.0,c9a7291a-32e5-45f5-aa37-5690d2179b65,lyft_luxsuv,Lux Black XL,2018-12-14 01:45:03.745,2018-12-14:01.45.03,30.07,North Station,0.79,1035.03,0.0,0.69,2.28,2018-12-14 01:45:03.000
3359,2.83,Lyft,Boston University,West End,34.0,1.0,f463c747-e2a1-45a6-bc28-b2dde31c696e,lyft_luxsuv,Lux Black XL,2018-11-27 00:58:48.127,2018-11-27:00.58.48,43.96,West End,0.98,1006.0,0.1468,0.9,9.96,2018-11-27 00:58:48.000
2138,1.68,Uber,South Station,Back Bay,18.5,1.0,099b3aaa-4e20-4459-9e0d-3898aab50b65,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 17:02:07.835,2018-11-28:17.02.07,41.38,Back Bay,0.92,991.5,0.0,0.63,9.22,2018-11-28 17:02:07.000
2617,0.42,Lyft,North Station,Haymarket Square,9.0,1.0,e6c975f0-4b9e-4f0f-9477-cdf28ddae2a6,lyft_plus,Lyft XL,2018-11-28 07:31:37.686,2018-11-28:07.31.37,35.03,Haymarket Square,0.15,991.76,0.0,0.8,6.64,2018-11-28 07:31:37.000
425,2.42,Lyft,Back Bay,Haymarket Square,7.0,1.0,f05d247a-510f-4d07-8fbd-41c58a560302,lyft_line,Shared,2018-11-28 10:02:08.085,2018-11-28:10.02.08,33.25,Haymarket Square,0.13,991.17,0.0,0.83,5.58,2018-11-28 10:02:08.000
105,5.37,Lyft,Boston University,Financial District,22.5,1.0,945b9b5d-5bc2-4c7a-a1b4-c757759383e3,lyft_plus,Lyft XL,2018-11-29 01:02:08.714,2018-11-29:01.02.08,36.85,Financial District,0.71,997.12,0.0,0.76,10.0,2018-11-29 01:02:08.000
525,1.9,Uber,Beacon Hill,North End,11.0,1.0,caf804d5-3e6d-4c3d-af41-b32400ef17a5,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29 01:02:08.304,2018-11-29:01.02.08,38.72,North End,0.7,997.11,0.0,0.7,9.97,2018-11-29 01:02:08.000
3118,2.8,Lyft,Back Bay,North End,32.5,1.0,bfe2399a-6e6f-44a9-bdd2-ad30ad730a3b,lyft_luxsuv,Lux Black XL,2018-11-28 13:32:07.162,2018-11-28:13.32.07,37.98,North End,0.55,991.82,0.0,0.69,6.76,2018-11-28 13:32:07.000
3574,0.63,Uber,Financial District,South Station,27.0,1.0,aeaa07b2-075a-43e7-b87b-515946b6ed50,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26 07:11:17.710,2018-11-26:07.11.17,41.93,South Station,0.97,1014.35,0.0,0.9,1.83,2018-11-26 07:11:17.000
2402,2.88,Uber,West End,Northeastern University,9.5,1.0,9198be10-5b5e-492d-ad99-639ecc1df33d,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26 06:15:16.411,2018-11-26:06.15.16,40.33,Northeastern University,1.0,1014.17,0.0,0.92,1.14,2018-11-26 06:15:16.000
2566,1.55,Lyft,Back Bay,Northeastern University,19.5,1.5,57c4748c-28cd-4df9-90d9-55623d9b4d52,lyft_premier,Lux,2018-11-29 02:32:08.328,2018-11-29:02.32.08,37.79,Northeastern University,0.37,998.33,0.0,0.72,10.63,2018-11-29 02:32:08.000
1381,2.79,Uber,Beacon Hill,Boston University,9.5,1.0,fa14c88d-ba22-4cfa-aa03-7eb38722e23a,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26 06:29:02.481,2018-11-26:06.29.02,40.45,Boston University,1.0,1014.16,0.0,0.92,1.27,2018-11-26 06:29:02.000
3824,2.29,Lyft,Haymarket Square,Back Bay,10.5,1.0,f6fd6280-8ad3-4701-b8bf-dafeabc4c86f,lyft,Lyft,2018-11-29 04:32:07.667,2018-11-29:04.32.07,37.58,Back Bay,0.5,998.76,0.0,0.71,9.93,2018-11-29 04:32:07.000
1242,1.34,Lyft,Haymarket Square,Beacon Hill,26.0,1.0,829ec331-6968-4aed-ac83-674585240d46,lyft_luxsuv,Lux Black XL,2018-11-29 06:41:41.689,2018-11-29:06.41.41,37.65,Beacon Hill,0.61,1000.61,0.0,0.71,10.53,2018-11-29 06:41:41.000
2662,2.66,Uber,Theatre District,Fenway,29.5,1.0,1e4b5869-5e14-455b-87bf-631835f80bbc,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 10:32:07.620,2018-11-28:10.32.07,32.65,Fenway,0.17,991.26,0.0,0.86,6.29,2018-11-28 10:32:07.000
2787,3.21,Lyft,North Station,Fenway,10.5,1.0,80432c12-4dfd-4e34-b59a-8638d1b40ba9,lyft,Lyft,2018-11-28 13:32:07.786,2018-11-28:13.32.07,37.97,Fenway,0.55,991.86,0.0,0.69,6.53,2018-11-28 13:32:07.000
3821,2.29,Lyft,Haymarket Square,Back Bay,22.5,1.0,0fa9ac8b-e246-40a9-950a-c528af9b3f7e,lyft_lux,Lux Black,2018-11-29 04:32:07.667,2018-11-29:04.32.07,37.58,Back Bay,0.5,998.76,0.0,0.71,9.93,2018-11-29 04:32:07.000
3032,1.8,Uber,Northeastern University,Theatre District,17.0,1.0,450f01c2-d2f1-4d29-a9e7-5f89d90564c9,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-27 00:43:39.281,2018-11-27:00.43.39,43.66,Theatre District,0.97,1005.88,0.2154,0.92,11.22,2018-11-27 00:43:39.000
3082,0.39,Uber,South Station,Financial District,6.0,1.0,3ec1f96c-e2ed-45d7-9fc8-2fc601f20884,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29 01:09:23.853,2018-11-29:01.09.23,36.82,Financial District,0.67,997.22,0.0,0.76,10.15,2018-11-29 01:09:23.000
2523,3.53,Uber,Back Bay,South Station,12.0,1.0,b9390cbf-1baa-4d90-9b8e-b31369fe03fa,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28 17:02:07.659,2018-11-28:17.02.07,41.46,South Station,0.92,991.49,0.0,0.63,9.25,2018-11-28 17:02:07.000
3039,2.14,Lyft,South Station,North Station,16.5,1.0,efae1a92-a045-4ca5-8d86-b13cd1d25d34,lyft_premier,Lux,2018-11-26 09:29:09.873,2018-11-26:09.29.09,40.83,North Station,1.0,1014.75,0.0,0.93,1.24,2018-11-26 09:29:09.000
3458,4.24,Lyft,South Station,Back Bay,32.5,1.0,b28c3330-524c-4ab6-b6c6-d2ac3742c871,lyft_lux,Lux Black,2018-11-27 00:42:13.994,2018-11-27:00.42.13,43.83,Back Bay,0.97,1005.9,0.2173,0.91,10.93,2018-11-27 00:42:13.000
3171,2.3,Uber,Back Bay,Haymarket Square,9.5,1.0,3a650b6e-b7a4-440c-9799-3702749613c4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26 06:15:15.738,2018-11-26:06.15.15,40.51,Haymarket Square,1.0,1014.19,0.0,0.91,1.25,2018-11-26 06:15:15.000
836,1.0,Uber,Financial District,Haymarket Square,15.0,1.0,04c9c3b2-2f50-4a21-bcab-98aeb607e31a,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29 02:32:08.328,2018-11-29:02.32.08,38.05,Haymarket Square,0.37,998.28,0.0,0.71,10.79,2018-11-29 02:32:08.000
1538,1.81,Lyft,Beacon Hill,North End,38.5,1.25,5735b8d5-d114-4ea5-bf02-1f1bd2c395d9,lyft_luxsuv,Lux Black XL,2018-11-28 15:06:22.598,2018-11-28:15.06.22,39.6,North End,0.27,991.75,0.0,0.65,8.23,2018-11-28 15:06:22.000
3477,3.01,Uber,Boston University,North Station,18.5,1.0,a7714f1f-2565-44c3-ad80-857d3506a95a,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 07:33:43.260,2018-11-28:07.33.43,35.0,North Station,0.15,991.75,0.0,0.8,6.66,2018-11-28 07:33:43.000
1187,3.05,Uber,West End,Boston University,35.5,1.0,8d179dee-9924-4c7c-964b-4b373bf495d3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 07:31:37.949,2018-11-28:07.31.37,35.0,Boston University,0.16,991.78,0.0,0.8,6.44,2018-11-28 07:31:37.000
2082,1.97,Uber,West End,South Station,9.5,1.0,6c52e10f-b51e-474b-9e7f-720a3cd955b1,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 19:06:22.409,2018-11-28:19.06.22,41.22,South Station,1.0,991.9,0.0,0.64,9.58,2018-11-28 19:06:22.000
868,2.14,Uber,South Station,West End,8.5,1.0,1612fd02-ee3f-4cc9-9977-a9693e549a94,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 07:34:35.402,2018-11-28:07.34.35,34.95,West End,0.15,991.76,0.0,0.8,6.66,2018-11-28 07:34:35.000
826,1.25,Lyft,Theatre District,Haymarket Square,26.0,1.0,6166b225-6a2d-4edb-913c-135046668bbb,lyft_luxsuv,Lux Black XL,2018-11-29 02:32:08.058,2018-11-29:02.32.08,38.05,Haymarket Square,0.37,998.28,0.0,0.71,10.79,2018-11-29 02:32:08.000
1832,1.22,Uber,Northeastern University,Back Bay,26.5,1.0,3d4efca2-dd05-4b91-bd1b-60a5c10157a9,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 11:02:07.610,2018-11-28:11.02.07,33.02,Back Bay,0.38,990.65,0.0,0.83,6.49,2018-11-28 11:02:07.000
2306,0.73,Uber,Haymarket Square,West End,7.0,1.0,d2b98323-7c08-4241-ad9c-54a877404e78,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-27 01:45:22.002,2018-11-27:01.45.22,44.09,West End,1.0,1004.22,0.7103,0.91,12.42,2018-11-27 01:45:22.000
47,3.42,Uber,Northeastern University,North Station,10.0,1.0,e38508d1-3c80-400c-b114-a5e4ae801965,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28 23:02:09.617,2018-11-28:23.02.09,39.9,North Station,0.98,995.03,0.0,0.64,9.99,2018-11-28 23:02:09.000
1723,0.57,Lyft,Financial District,South Station,26.0,1.0,e7dfef7b-b488-46ab-83d7-8d7a3cf2d364,lyft_luxsuv,Lux Black XL,2018-11-28 11:02:07.434,2018-11-28:11.02.07,33.78,South Station,0.37,990.64,0.0,0.8,6.56,2018-11-28 11:02:07.000
248,3.23,Lyft,North Station,Fenway,5.0,1.0,e6a03d56-a7c3-4081-b7ce-41933c8b8cdc,lyft_line,Shared,2018-11-28 09:32:18.716,2018-11-28:09.32.18,33.3,Fenway,0.42,991.82,0.0,0.84,5.82,2018-11-28 09:32:18.000
2192,2.81,Uber,Theatre District,Northeastern University,9.5,1.0,698168ff-3aa5-467e-951c-6bfe4357ab39,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29 04:09:18.894,2018-11-29:04.09.18,37.47,Northeastern University,0.58,998.48,0.0,0.71,9.43,2018-11-29 04:09:18.000
915,2.96,Lyft,North End,Back Bay,7.0,1.0,9a7c0f37-bf2e-4f57-a169-d9f093c3ae4f,lyft_line,Shared,2018-11-28 23:02:09.438,2018-11-28:23.02.09,39.99,Back Bay,0.98,995.05,0.0,0.63,9.97,2018-11-28 23:02:09.000
211,3.39,Uber,North Station,Boston University,19.0,1.0,e702e940-33f1-4e8f-b9d0-ff761bff56e6,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 21:32:07.993,2018-11-28:21.32.07,40.45,Boston University,0.86,994.12,0.0,0.65,9.41,2018-11-28 21:32:07.000
1250,1.38,Uber,North End,Beacon Hill,11.5,1.0,af556199-e7ba-441d-bed8-33b77d668620,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-27 01:45:22.128,2018-11-27:01.45.22,44.27,Beacon Hill,1.0,1004.45,0.693,0.9,13.31,2018-11-27 01:45:22.000
3753,1.35,Uber,Haymarket Square,Beacon Hill,7.5,1.0,711e4a02-e991-411c-931b-1e9bf0fa2d35,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26 21:35:09.641,2018-11-26:21.35.09,44.56,Beacon Hill,0.91,1009.02,0.0032,0.86,9.42,2018-11-26 21:35:09.000
2166,1.06,Lyft,North End,West End,7.0,1.0,d9c6c41c-221f-4d41-aa50-01148a8594f6,lyft,Lyft,2018-11-28 14:02:07.137,2018-11-28:14.02.07,38.41,West End,0.48,991.64,0.0,0.67,11.42,2018-11-28 14:02:07.000
2315,2.41,Lyft,Beacon Hill,Fenway,22.5,1.0,c83f3a2e-e521-461b-baa5-ecd59186ab38,lyft_lux,Lux Black,2018-11-26 09:29:09.817,2018-11-26:09.29.09,40.72,Fenway,1.0,1014.75,0.0,0.94,1.36,2018-11-26 09:29:09.000
2894,1.0,Lyft,Financial District,Haymarket Square,10.5,1.0,7d060681-cee4-4bf5-b732-8eab55d1893a,lyft_plus,Lyft XL,2018-11-28 19:02:08.052,2018-11-28:19.02.08,41.03,Haymarket Square,1.0,991.81,0.0,0.64,9.51,2018-11-28 19:02:08.000
1456,2.47,Lyft,Northeastern University,Beacon Hill,16.5,1.0,5420ede6-a3c9-445b-9995-017786b51903,lyft_plus,Lyft XL,2018-11-29 04:32:07.574,2018-11-29:04.32.07,37.57,Beacon Hill,0.5,998.74,0.0,0.71,9.96,2018-11-29 04:32:07.000
2504,2.98,Lyft,Theatre District,Boston University,16.5,1.0,0d6bc234-2a6f-415a-8552-195cc7dcdb46,lyft_plus,Lyft XL,2018-11-26 10:05:10.097,2018-11-26:10.05.10,40.77,Boston University,1.0,1014.75,0.0,0.93,1.99,2018-11-26 10:05:10.000
3195,2.71,Lyft,Theatre District,Fenway,32.5,1.0,3b38d18e-d129-480f-a63e-99291592e5d3,lyft_luxsuv,Lux Black XL,2018-11-28 21:41:36.368,2018-11-28:21.41.36,40.29,Fenway,0.86,994.57,0.0,0.66,9.77,2018-11-28 21:41:36.000
1593,3.17,Lyft,Fenway,Theatre District,19.5,1.0,2974de47-2cb5-4ff3-9c26-63a32192f240,lyft_premier,Lux,2018-11-26 06:49:04.509,2018-11-26:06.49.04,41.12,Theatre District,0.98,1014.34,0.0,0.92,1.81,2018-11-26 06:49:04.000
2595,1.01,Lyft,North Station,North End,27.5,1.0,eec3a55e-620b-48e9-a4cb-38f6dce2eb06,lyft_luxsuv,Lux Black XL,2018-11-26 19:35:10.934,2018-11-26:19.35.10,45.89,North End,0.91,1010.89,0.0,0.83,8.58,2018-11-26 19:35:10.000
3096,2.32,Uber,Fenway,Beacon Hill,11.0,1.0,fb57de14-1ec5-4266-9c70-ed2c7ce25c65,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28 23:49:34.625,2018-11-28:23.49.34,39.34,Beacon Hill,0.86,995.91,0.0,0.66,10.4,2018-11-28 23:49:34.000
2464,1.41,Uber,Boston University,Back Bay,7.5,1.0,93ddd108-1bbd-4387-8e1d-dcb8fde5068d,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29 01:02:08.313,2018-11-29:01.02.08,38.74,Back Bay,0.71,997.14,0.0,0.7,9.89,2018-11-29 01:02:08.000
2967,4.51,Lyft,Financial District,Boston University,22.5,1.0,55b35857-e977-4354-adda-bc5926cfb762,lyft_plus,Lyft XL,2018-11-28 07:34:35.403,2018-11-28:07.34.35,34.99,Boston University,0.16,991.78,0.0,0.8,6.5,2018-11-28 07:34:35.000
1045,0.55,Uber,South Station,Theatre District,15.5,1.0,8ba4d462-bb50-4e75-90d3-303346231239,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28 07:31:37.949,2018-11-28:07.31.37,34.93,Theatre District,0.15,991.77,0.0,0.8,6.63,2018-11-28 07:31:37.000
276,2.84,Uber,Fenway,West End,9.5,1.0,366fdc0f-4980-493e-9be7-613c34eb636b,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28 13:32:07.483,2018-11-28:13.32.07,38.31,West End,0.59,991.71,0.0,0.68,6.86,2018-11-28 13:32:07.000
536,2.32,Lyft,Fenway,Beacon Hill,13.5,1.0,25d7f505-1f37-49ce-88a5-a514cd385582,lyft_plus,Lyft XL,2018-11-26 17:05:09.777,2018-11-26:17.05.09,45.44,Beacon Hill,0.98,1012.84,0.0,0.86,6.14,2018-11-26 17:05:09.000
1672,3.28,Lyft,Northeastern University,North Station,38.5,1.0,d2faedf2-59b4-422f-9cfd-b46eceadfb94,lyft_luxsuv,Lux Black XL,2018-11-29 02:07:18.919,2018-11-29:02.07.18,38.35,North Station,0.5,997.89,0.002,0.7,10.38,2018-11-29 02:07:18.000
3582,4.48,Uber,Fenway,Financial District,14.0,1.0,9bef355a-33d0-4224-9db4-582f95f15571,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29 04:46:23.974,2018-11-29:04.46.23,37.93,Financial District,0.45,998.91,0.0,0.69,9.44,2018-11-29 04:46:23.000
234,0.55,Uber,South Station,Theatre District,7.0,1.0,d511a5d1-bb22-4ee9-a052-219794821bbb,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 09:32:18.159,2018-11-28:09.32.18,33.21,Theatre District,0.42,991.8,0.0,0.85,5.93,2018-11-28 09:32:18.000
1858,2.19,Uber,North End,Beacon Hill,9.5,1.0,6c3d3541-26dd-46da-96d9-e11dd1e384e6,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28 00:45:22.186,2018-11-28:00.45.22,38.92,Beacon Hill,0.04,992.1,0.0,0.72,7.5,2018-11-28 00:45:22.000
669,2.99,Lyft,North End,Back Bay,47.5,2.0,13d8fcca-a9ba-4bf5-892b-113b5cc0564a,lyft_lux,Lux Black,2018-11-29 01:32:08.216,2018-11-29:01.32.08,38.46,Back Bay,0.65,997.43,0.0,0.72,10.06,2018-11-29 01:32:08.000
400,1.97,Uber,Northeastern University,Beacon Hill,25.0,1.0,ce201858-4fe8-4fef-972a-cc8b3df83fb8,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26 09:35:10.676,2018-11-26:09.35.10,40.8,Beacon Hill,1.0,1014.74,0.0,0.94,0.56,2018-11-26 09:35:10.000
2454,1.1,Uber,Northeastern University,Back Bay,10.0,1.0,6fab5ea4-fce5-4ba2-b3a0-55ea62759076,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29 01:02:08.729,2018-11-29:01.02.08,38.74,Back Bay,0.71,997.14,0.0,0.7,9.89,2018-11-29 01:02:08.000
2821,0.49,Uber,North Station,Haymarket Square,27.5,1.0,1ee28fd9-be44-41d4-a431-3e20f057102c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-26 09:35:10.676,2018-11-26:09.35.10,40.82,Haymarket Square,1.0,1014.74,0.0,0.94,0.48,2018-11-26 09:35:10.000
2434,2.2,Uber,Haymarket Square,Back Bay,16.0,1.0,a7297883-4ed5-4703-b3d3-b44db505ddcc,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-26 09:29:09.845,2018-11-26:09.29.09,40.89,Back Bay,1.0,1014.75,0.0,0.93,1.25,2018-11-26 09:29:09.000
738,1.15,Lyft,Theatre District,South Station,7.0,1.0,0f66abff-d7f5-4994-a462-1c209e6fe3c9,lyft,Lyft,2018-11-28 16:32:08.857,2018-11-28:16.32.08,41.24,South Station,0.67,991.61,0.0,0.63,10.43,2018-11-28 16:32:08.000
814,1.47,Lyft,Back Bay,Fenway,7.0,1.0,d6630447-c253-43de-bc24-d37a55926309,lyft,Lyft,2018-11-28 09:50:11.351,2018-11-28:09.50.11,33.46,Fenway,0.13,991.22,0.0,0.83,5.34,2018-11-28 09:50:11.000
3367,2.83,Lyft,West End,Northeastern University,19.5,1.0,c7eda1ab-bd42-4dfc-891f-dd218ecd3ad0,lyft_premier,Lux,2018-11-28 11:32:07.830,2018-11-28:11.32.07,33.1,Northeastern University,0.42,991.0,0.0,0.83,6.67,2018-11-28 11:32:07.000
1093,0.57,Lyft,Financial District,South Station,16.5,1.0,2fe7ec11-d240-461e-9c1b-6b15884da701,lyft_lux,Lux Black,2018-11-29 01:02:08.714,2018-11-29:01.02.08,36.8,South Station,0.71,997.12,0.0,0.76,10.01,2018-11-29 01:02:08.000
3237,2.07,Lyft,North End,Beacon Hill,7.0,1.0,a6c5903f-eb64-4a8f-b8d6-bbd1bedaa911,lyft_line,Shared,2018-11-28 09:34:34.992,2018-11-28:09.34.34,33.47,Beacon Hill,0.42,991.75,0.0,0.83,5.98,2018-11-28 09:34:34.000
1890,1.35,Uber,Haymarket Square,Beacon Hill,13.0,1.0,787d35ee-b251-464f-b2e0-6532920050dd,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-29 00:02:07.855,2018-11-29:00.02.07,39.18,Beacon Hill,0.83,996.08,0.0,0.67,10.69,2018-11-29 00:02:07.000
3600,1.86,Lyft,West End,South Station,13.5,1.0,cc5853da-96a9-49bb-829e-1c15c0b5b127,lyft_plus,Lyft XL,2018-11-28 13:02:07.840,2018-11-28:13.02.07,36.98,South Station,0.64,991.56,0.0,0.7,6.67,2018-11-28 13:02:07.000
266,4.56,Lyft,Fenway,Financial District,26.0,1.0,b203d8a0-49f5-4c3b-b69c-3b46383d2c00,lyft_premier,Lux,2018-11-27 01:45:22.128,2018-11-27:01.45.22,44.32,Financial District,1.0,1004.2,0.7753,0.9,12.47,2018-11-27 01:45:22.000
9,1.34,Lyft,Beacon Hill,Haymarket Square,7.0,1.0,f4ed85fb-150f-40bc-b6ad-187cf5cc711f,lyft,Lyft,2018-11-28 18:32:08.452,2018-11-28:18.32.08,41.26,Haymarket Square,0.99,991.7,0.0,0.64,10.27,2018-11-28 18:32:08.000
1947,2.27,Uber,Boston University,Beacon Hill,10.5,1.0,668d5293-e180-4c05-b0ed-ab58b425718c,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 10:32:07.914,2018-11-28:10.32.07,32.83,Beacon Hill,0.16,991.41,0.0,0.85,6.38,2018-11-28 10:32:07.000
2149,2.17,Uber,South Station,North Station,15.0,1.0,476c6a38-53af-4f72-8733-39eeefdc34bb,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 07:31:37.677,2018-11-28:07.31.37,35.01,North Station,0.15,991.75,0.0,0.8,6.61,2018-11-28 07:31:37.000
2988,3.44,Uber,Back Bay,South Station,18.0,1.0,3308cf75-e129-4503-9e1a-870ef279ba84,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 07:31:37.686,2018-11-28:07.31.37,35.77,South Station,0.13,991.57,0.0,0.77,6.72,2018-11-28 07:31:37.000
770,1.09,Lyft,North Station,North End,7.0,1.0,2cc81971-1376-4541-b738-c4e73cdf99ea,lyft,Lyft,2018-11-28 07:34:35.486,2018-11-28:07.34.35,35.04,North End,0.14,991.75,0.0,0.8,6.72,2018-11-28 07:34:35.000
1860,1.35,Uber,Haymarket Square,Beacon Hill,13.5,1.0,0f9974a6-2140-4c38-b570-64960bbab5dd,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28 00:45:22.894,2018-11-28:00.45.22,38.92,Beacon Hill,0.04,992.1,0.0,0.72,7.5,2018-11-28 00:45:22.000
3395,2.84,Uber,Fenway,West End,11.0,1.0,bb559868-2b95-4be8-a1da-dffcefd8afb1,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28 18:32:09.008,2018-11-28:18.32.09,41.18,West End,0.99,991.7,0.0,0.64,10.26,2018-11-28 18:32:09.000
1084,2.58,Uber,Beacon Hill,South Station,14.0,1.0,acf5d988-68de-49e2-85ad-ff504ec31c37,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-27 01:45:22.002,2018-11-27:01.45.22,44.31,South Station,1.0,1004.19,0.7505,0.9,12.48,2018-11-27 01:45:22.000
1584,0.9,Uber,North End,North Station,27.5,1.0,b932e5cb-92ca-4ea7-93b2-c95ca0243539,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-27 01:17:22.660,2018-11-27:01.17.22,44.07,North Station,0.99,1005.4,0.2946,0.9,11.26,2018-11-27 01:17:22.000
1921,1.16,Uber,Theatre District,Haymarket Square,16.5,1.0,6241b4aa-42f2-4746-ace7-b4d1f800702e,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26 10:35:09.844,2018-11-26:10.35.09,40.57,Haymarket Square,0.99,1014.86,0.0,0.95,2.05,2018-11-26 10:35:09.000
350,1.8,Uber,Northeastern University,Theatre District,10.0,1.0,61bd87ad-1fba-432d-8c02-7fd391650849,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29 00:02:07.926,2018-11-29:00.02.07,39.1,Theatre District,0.83,996.08,0.0,0.67,10.75,2018-11-29 00:02:07.000
1037,1.44,Uber,Boston University,Back Bay,8.5,1.0,cab52bac-3c8e-4518-a1bc-17e9bce6d399,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-26 04:41:38.115,2018-11-26:04.41.38,40.63,Back Bay,0.86,1014.17,0.0,0.93,2.59,2018-11-26 04:41:38.000
3732,0.72,Uber,Haymarket Square,West End,26.5,1.0,37dd65ff-bcb4-4670-a368-5c130345eceb,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28 23:45:57.576,2018-11-28:23.45.57,39.33,West End,0.87,995.85,0.0,0.66,10.3,2018-11-28 23:45:57.000
3132,3.61,Uber,Back Bay,North End,9.5,1.0,6a336e89-6049-4215-a743-cf49d196a8b4,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26 07:46:10.979,2018-11-26:07.46.10,41.3,North End,0.94,1014.19,0.0,0.93,1.97,2018-11-26 07:46:10.000
2207,0.62,Lyft,South Station,Theatre District,9.0,1.0,7144f0b5-f1e1-4eaa-99f1-357de5b787f6,lyft_plus,Lyft XL,2018-11-28 15:02:08.837,2018-11-28:15.02.08,39.57,Theatre District,0.27,991.74,0.0,0.65,8.09,2018-11-28 15:02:08.000
